Æò±Õ±â¿Â,Æò±Õ½Àµµ,Æò±ÕÇ³¼Ó,Ã¼°¨¿Âµµ,Æò±ÕÀü¿î·®,½Ã±º±¸,¿äÀÏ,Diff,SUM
2.900000095,45.70000076,0.699999988,3.156270294,8,13,1,9.19999981,548
3.099999905,36.79999924,1.600000024,1.83200112,8,14,1,7.699999929,599
3.599999905,43.59999847,1,3.276156968,8,15,1,8.200000167,661
2.700000048,46.09999847,1.299999952,1.791471922,8,16,1,9.399999976,368
2.700000048,44.29999924,1,2.292461929,8,17,1,8.600000143,562
2.299999952,49.5,0.699999988,2.515492235,8,18,1,9.299999952,727
3.900000095,42.70000076,1.100000024,3.432637327,8,19,1,8.300000191,263
3.599999905,45.59999847,1.399999976,2.652434322,8,20,1,8.599999905,739
3.200000048,20.70000076,1.200000048,2.499568631,8,21,1,8.200000167,525
2.900000095,43.09999847,1,2.511060914,8,22,1,8.900000095,590
3.599999905,39.40000153,0.800000012,3.672775441,8,23,1,7.899999797,450
2.700000048,45.90000153,1.399999976,1.646353248,8,24,1,8.000000119,403
4.599999905,54.29999924,0.899999976,4.550541621,4.6,1,2,6.800000429,1012
4.699999809,57.79999924,1.100000024,4.312567738,4.6,3,2,7.899999619,522
4,63.70000076,1.200000048,3.384621923,4.6,4,2,6.500000179,1326
4.800000191,44.5,1.399999976,3.993876287,4.6,5,2,7.299999833,794
5.099999905,53.79999924,1.299999952,4.460947062,4.6,6,2,6.700000286,285
4.5,58.59999847,1.600000024,3.411330684,4.6,7,2,7.900000185,481
5,53.5,1.5,4.092981227,4.6,8,2,8.300000191,300
4.900000095,55.40000153,0.899999976,4.876180001,4.6,9,2,8.000000475,686
3.799999952,59.20000076,0.600000024,4.376411818,4.6,10,2,10.1000002,288
4.800000191,55.5,1.600000024,3.749758639,4.6,11,2,7.000000476,401
5.300000191,10.10000038,1.5,4.429919005,4.6,12,2,7.499999761,379
3.900000095,60,1.299999952,3.126209625,4.6,13,2,7.399999797,589
4.099999905,54.20000076,1.299999952,3.348665687,4.6,14,2,8.299999997,656
5.300000191,53.20000076,1.399999976,4.552810306,4.6,15,2,6.800000191,675
4.900000095,55.09999847,1.299999952,4.238490999,4.6,16,2,7.900000215,419
4.699999809,55.20000076,1.200000048,4.159043388,4.6,17,2,7.100000381,548
4.800000191,54.20000076,0.800000012,4.965389291,4.6,18,2,8.199999809,867
4.800000191,59.5,1.299999952,4.127262968,4.6,19,2,8.299999833,314
4.400000095,61.40000153,2.400000095,2.513646156,4.6,20,2,8.400000215,857
4.5,34,1.299999952,3.793578343,4.6,21,2,7.400000215,574
4,57.79999924,1.600000024,2.847284449,4.6,22,2,7.700000092,627
5.099999905,52.09999847,1,4.915648961,4.6,23,2,7.299999833,410
4.800000191,54.40000153,1.5,3.868356398,4.6,24,2,6.500000239,433
0.400000006,66.59999847,1.5,-1.073394749,7.3,1,3,2.399999976,1094
0.600000024,75,1.200000048,-0.376854767,7.3,3,3,2.299999908,552
-0.200000003,66.09999847,1.700000048,-2.026710175,7.3,4,3,2.800000072,1359
0.100000001,55.20000076,1.700000048,-1.686869422,7.3,5,3,2.5,912
1.200000048,71.40000153,1.399999976,-0.030448808,7.3,6,3,2.599999949,323
-0.400000006,62.20000076,2.400000095,-3.056388749,7.3,7,3,3.100000024,502
0.200000003,58.20000076,1.700000048,-1.573589171,7.3,8,3,3.099999904,346
1.100000024,72.69999695,1.299999952,0.011821696,7.3,9,3,2.200000048,728
0.200000003,72.59999847,0.600000024,0.569222827,7.3,10,3,2.099999964,277
0.899999976,73.30000305,1.600000024,-0.649802231,7.3,11,3,2.099999949,449
0.600000024,40.70000076,2,-1.480954882,7.3,12,3,2.50000006,450
-0.5,68,1.700000048,-2.36655092,7.3,13,3,2.899999917,683
-0.800000012,66.90000153,1.600000024,-2.567559415,7.3,14,3,2.400000006,694
1.100000024,62.70000076,2.099999905,-1.01612446,7.3,15,3,2.200000092,770
0.699999988,69.5,1.600000024,-0.875420712,7.3,16,3,1.999999977,455
0.699999988,72.69999695,1,0.106472541,7.3,17,3,2,660
1.299999952,70,0.800000012,1.195266205,7.3,18,3,1.999999881,864
0.200000003,62.70000076,1.5,-1.298019796,7.3,19,3,3.399999976,371
-0.100000001,65.40000153,2.900000095,-3.162241596,7.3,20,3,2.800000072,909
-0.200000003,46.20000076,1.799999952,-2.156077847,7.3,21,3,2.700000048,640
-0.800000012,70.40000153,2.099999905,-3.200285331,7.3,22,3,2.299999982,690
0.400000006,67.59999847,1.399999976,-0.924743284,7.3,23,3,1.899999976,378
0.800000012,74.09999847,1.5,-0.624144657,7.3,24,3,2.399999953,516
-3.299999952,41.29999924,2.099999905,-6.07418109,0,1,4,5.300000094,1173
-2.900000095,47.59999847,1.5,-4.779708068,0,3,4,5.899999917,566
-3.5,47.40000153,2.200000048,-6.425096951,0,4,4,4.100000143,1430
-3.299999952,30.89999962,2.400000095,-6.421618038,0,5,4,4.300000191,846
-2.400000095,43.20000076,2.200000048,-5.156446121,0,6,4,5.199999988,308
-3.400000095,41.40000153,2.700000048,-6.850928072,0,7,4,4.899999917,577
-3,37.5,2.5,-6.180092785,0,8,4,4.899999797,309
-2.5,40.90000153,1.299999952,-3.992391279,0,9,4,5.5,820
-3.5,45.40000153,0.600000024,-3.343721471,0,10,4,5.800000071,323
-2.700000048,44.40000153,2.299999952,-5.615962953,0,11,4,5.500000119,481
-3,43.29999924,2.200000048,-5.848437433,0,12,4,4.899999797,422
-3.900000095,46,1.899999976,-6.503231491,0,13,4,5.099999905,613
-4.300000191,42.70000076,1.899999976,-6.959853982,0,14,4,5.199999809,730
-2.299999952,39.5,2.700000048,-5.563718515,0,15,4,4.700000003,857
-2.799999952,42.40000153,2.200000048,-5.61777357,0,16,4,6.500000179,507
-3.200000048,45.20000076,1.600000024,-5.274981381,0,17,4,5.400000095,625
-1.899999976,40.79999924,1.299999952,-3.325022428,0,18,4,5.600000024,977
-3.099999905,42.29999924,2.200000048,-5.963769226,0,19,4,4.699999809,377
-3.400000095,45.20000076,4.199999809,-8.076650613,0,20,4,4.200000047,945
-3.5,22,2.200000048,-6.425096951,0,21,4,4.399999976,611
-4.199999809,47,2.599999905,-7.683580146,0,22,4,4.799999952,739
-3.299999952,43.40000153,1.899999976,-5.818297756,0,23,4,5.299999893,387
-2.799999952,44.20000076,2,-5.376138361,0,24,4,5.300000012,546
-3.5,39.09999847,1.399999976,-5.284428637,2,1,5,7.200000197,1524
-0.5,43.90000153,0.899999976,-0.985307214,2,2,5,0.899999976,971
-3.5,42.79999924,1,-4.484105023,2,3,5,9.299999953,747
-3.5,49.90000153,1.5,-5.45358309,2,4,5,7.600000203,1890
-3.299999952,31.39999962,1.600000024,-5.38779052,2,5,5,7.300000101,1150
-2.900000095,39.59999847,1.600000024,-4.936553694,2,6,5,7.299999833,380
-3.299999952,41.59999847,1.899999976,-5.818297756,2,7,5,7.699999809,719
-3,37.90000153,1.5,-4.892020483,2,8,5,8.100000143,431
-3.200000048,38.29999924,1,-4.156206677,2,9,5,8.799999833,1118
-4.400000095,43.20000076,0.300000012,-2.841874414,2,10,5,9.799999833,385
-3.400000095,41,2,-6.06352385,2,11,5,7.200000003,598
-2.900000095,43.59999847,1.799999952,-5.226741017,2,12,5,7.499999881,517
-4,46.90000153,1.299999952,-5.660813341,2,13,5,7.999999806,734
-4.400000095,42.20000076,1.600000024,-6.628692397,2,14,5,8.600000188,863
-2.5,39.29999924,1.899999976,-4.905053047,2,15,5,7.399999857,1034
-3,39.40000153,1.799999952,-5.34046917,2,16,5,9.100000143,733
-3.700000048,40.59999847,1.399999976,-5.508002298,2,17,5,7.600000001,838
-2.900000095,39.20000076,1.100000024,-4.04677405,2,18,5,9.299999833,1288
-3,43.59999847,1.5,-4.892020483,2,19,5,8.199999929,483
-3.299999952,46.20000076,2.5,-6.529229521,2,20,5,7.499999911,1273
-3.5,20.89999962,1.700000048,-5.764958399,2,21,5,7.499999911,779
-4.300000191,45.79999924,1.799999952,-6.818936789,2,22,5,7.999999821,907
-3.5,41.79999924,1.299999952,-5.104672654,2,23,5,8.100000203,490
-3.400000095,40.5,1.700000048,-5.651678258,2,24,5,7.300000191,630
3.099999905,60.29999924,0.600000024,3.636125009,6.6,1,6,8.499999821,1472
3.5,60.70000076,0.800000012,3.565057749,6.6,2,6,9.000000387,981
2.799999952,61.70000076,0.600000024,3.318859306,6.6,3,6,9.799999595,843
4.400000095,67.09999847,1.5,3.419106206,6.6,4,6,8.999999806,1910
4.5,56,0.800000012,4.6422357,6.6,5,6,9.600000001,1324
3.5,61.70000076,0.600000024,4.059146115,6.6,6,6,9.400000393,419
4.400000095,65.59999847,1.899999976,2.971683142,6.6,7,6,9.699999809,801
4.800000191,63.79999924,1.299999952,4.127262968,6.6,8,6,10,483
3,59.70000076,0.5,3.838647116,6.6,9,6,9.799999595,1075
1.799999952,63.79999924,0.200000003,4.078568312,6.6,10,6,10.79999971,397
3,60.40000153,1.299999952,2.125156281,6.6,11,6,9.200000048,659
4.400000095,65.19999695,1.5,3.419106206,6.6,12,6,10.1,542
4.099999905,65.30000305,1,3.822654299,6.6,13,6,9.400000006,820
3.799999952,61.29999924,2,2.185100101,6.6,14,6,9.799999833,963
4.699999809,63.70000076,1.200000048,4.159043388,6.6,15,6,10.00000019,1128
3.5,60,1,3.166857606,6.6,16,6,10.70000041,659
2.799999952,60.09999847,0.699999988,3.049473824,6.6,17,6,9.200000047,869
3.200000048,59,0.600000024,3.741880411,6.6,18,6,10.30000019,1291
4.900000095,64.19999695,1.299999952,4.238490999,6.6,19,6,10.19999999,515
4.599999905,64.69999695,1.799999952,3.302878609,6.6,20,6,10.09999961,1322
3.900000095,40.59999847,0.899999976,3.790719424,6.6,21,6,10.79999983,772
3.799999952,64.19999695,2,2.185100101,6.6,22,6,9.400000393,979
4,58.40000153,0.800000012,4.103646724,6.6,23,6,9.100000203,483
3.099999905,62.70000076,0.899999976,2.922350756,6.6,24,6,8.800000369,696
